Generation,Solution,Collected Targets,Fitness Score,Time
1,0,1,0.11885329852176371,51.06666666666667
1,1,0,0.09392206750710344,42.56666666666667
1,2,1,0.12909370985126617,54.516666666666666
1,3,0,0.09969451045545819,46.00000000000001
1,4,1,0.10975398906514547,44.58333333333333
1,5,1,0.12179055609535128,55.766666666666666
1,6,0,0.10616519241733753,53.05
1,7,2,0.12896320135249256,59.41666666666667
1,8,1,0.10091238479679224,44.5
1,9,1,0.10214969986419384,47.65
1,10,1,0.09577975423151798,44.88333333333333
1,11,0,0.11911482012074112,51.266666666666666
1,12,1,0.11554583237674554,47.45
1,13,0,0.09531152199548053,41.53333333333334
1,14,0,0.10306134713295001,46.73333333333333
1,15,1,0.1045920441212254,46.31666666666666
1,16,0,0.10850903387452777,48.18333333333333
1,17,0,0.1290930262157419,52.36666666666667
1,18,2,0.14271348648782328,57.93333333333334
1,19,0,0.10214862468261195,46.3
1,20,1,0.09661710870407522,41.833333333333336
1,21,1,0.10755336709268466,44.28333333333334
1,22,1,0.09811921480067051,45.74999999999999
1,23,0,0.11388935134522875,51.166666666666664
1,24,1,0.10148724067431833,42.66666666666667
1,25,0,0.09776093814430857,45.016666666666666
1,26,0,0.09858294133677772,40.949999999999996
1,27,1,0.10254379092972743,43.416666666666664
1,28,0,0.09438762485596759,46.133333333333326
1,29,1,0.09874839289621498,45.0
1,30,1,0.10077767193764005,43.916666666666664
1,31,0,0.10025094312995422,48.383333333333326
1,32,0,0.09930050206371398,43.300000000000004
1,33,0,0.14299339387261484,51.400000000000006
1,34,0,0.09531614821047937,42.41666666666668
1,35,4,0.12878752068177518,54.666666666666664
1,36,1,0.13767058527448514,52.56666666666667
1,37,1,0.12366790293467125,53.21666666666667
1,38,0,0.10820471908968896,49.01666666666666
1,39,0,0.12523810867243687,56.53333333333334
1,40,3,0.11984175154902119,48.366666666666674
1,41,0,0.09874474913132525,42.11666666666666
1,42,0,0.10005512386936329,46.9
1,43,0,0.14796082079290218,53.583333333333336
1,44,1,0.11165208986529511,46.2
1,45,0,0.096215988971565,41.216666666666654
1,46,0,0.09683769664750114,42.466666666666654
1,47,1,0.10972485300856953,48.53333333333334
1,48,0,0.10200607729573288,47.18333333333334
1,49,0,0.09608712211953688,43.0
1,50,0,0.112568062816199,47.733333333333334
1,51,0,0.09434133244948226,39.21666666666666
1,52,0,0.12435261327383554,57.199999999999996
1,53,0,0.12132515642188482,52.800000000000004
1,54,1,0.10323494140336817,45.48333333333333
1,55,1,0.10080490139504458,44.21666666666666
1,56,0,0.0979053342674511,45.9
1,57,1,0.10254379684629807,43.83333333333333
1,58,0,0.10318455032726223,44.73333333333334
1,59,0,0.10771155604716429,48.400000000000006
1,60,1,0.09506216703929038,41.75
1,61,1,0.10500065618792447,45.0
1,62,0,0.10348363686698678,50.050000000000004
1,63,0,0.09306460502907067,41.1
1,64,3,0.10928851436214075,48.08333333333334
1,65,1,0.10908203357942606,41.533333333333324
1,66,0,0.13240037488647588,51.35000000000001
1,67,3,0.1478376290625216,53.46666666666667
1,68,1,0.1041051471116619,44.3
1,69,0,0.09663986873783884,44.89999999999999
1,70,0,0.09719879897913256,43.95
1,71,0,0.1016880613052357,47.466666666666654
1,72,1,0.10063816584867742,41.26666666666667
1,73,0,0.1009863111243868,42.266666666666666
1,74,0,0.10066795847885188,46.93333333333334
1,75,0,0.09482306395950243,43.566666666666656
1,76,0,0.14458844166110532,57.23333333333333
1,77,1,0.1008497854877179,45.68333333333333
1,78,1,0.10806955078590981,50.983333333333334
1,79,1,0.11172307503299209,46.55
1,80,1,0.1062161108887325,47.49999999999999
1,81,0,0.10771003912656432,49.5
1,82,0,0.10535499028812498,52.88333333333334
1,83,0,0.10169034076209733,41.550000000000004
1,84,0,0.09749589815595783,47.65
1,85,1,0.11264299771477437,47.849999999999994
1,86,1,0.11524412724135051,53.31666666666668
1,87,2,0.11566239643645297,45.09999999999999
1,88,1,0.11287157833928921,46.9
1,89,1,0.09996165623754105,41.983333333333334
1,90,0,0.10302598358403443,44.75
1,91,0,0.10366562124548366,45.01666666666666
1,92,0,0.11601752807387548,46.7
1,93,0,0.1079109929043676,50.11666666666667
1,94,0,0.10278645492576881,50.15
1,95,0,0.09125751483061506,44.58333333333333
1,96,0,0.13318902293964455,50.616666666666674
1,97,1,0.10229324307804784,44.73333333333333
1,98,0,0.10183480544207954,48.08333333333333
1,99,0,0.09607528089893645,45.11666666666665
2,1,0,0.10900538668392859,47.79999999999999
2,2,0,0.11823848487442216,51.916666666666664
2,3,1,0.09996067316767278,46.13333333333333
2,4,2,0.10836214470796499,48.41666666666667
2,5,0,0.09449542369124277,39.900000000000006
2,6,0,0.10012542899500483,46.96666666666666
2,7,0,0.09264343697437577,43.88333333333333
2,8,0,0.10608521552712365,48.016666666666666
2,9,1,0.10400254925313486,47.483333333333334
2,10,2,0.11555088022222668,46.75
2,11,1,0.10603012140944786,40.883333333333326
2,12,0,0.11653029701556035,52.099999999999994
2,13,1,0.1100186292647121,44.43333333333334
2,14,0,0.09481674682404054,42.199999999999996
2,15,0,0.09481619375893517,41.13333333333333
2,16,0,0.09835406755056234,41.96666666666667
2,17,1,0.11024579968562384,50.050000000000004
2,18,1,0.15455235352273605,58.9
2,19,1,0.10568540741446744,46.11666666666667
2,20,1,0.1063185616705223,48.23333333333335
2,21,1,0.10393521385625568,41.516666666666666
2,22,1,0.10200702189815092,48.8
2,23,0,0.09316174153158216,42.58333333333334
2,24,0,0.0923508620141527,43.51666666666667
2,25,2,0.12012223688921975,48.949999999999996
2,26,3,0.19370826133038963,59.51666666666667
2,27,0,0.1016561382467334,49.11666666666667
2,28,1,0.1114905763326367,52.033333333333346
2,29,1,0.1045584740458125,47.43333333333334
2,30,1,0.09775265024238744,40.96666666666666
2,31,0,0.10387013341402773,46.28333333333334
2,32,1,0.10730379017784966,44.78333333333334
2,33,0,0.09627917472597103,45.766666666666666
2,34,0,0.12029906509758045,55.33333333333333
2,35,1,0.10958828535671498,44.06666666666667
2,36,0,0.10306612804713569,40.7
2,37,2,0.11138735906450462,46.98333333333335
2,38,0,0.10515043935109376,46.83333333333334
2,39,0,0.09751095430772518,42.38333333333333
2,40,1,0.11425960651691025,43.466666666666654
2,41,1,0.0946070644177168,40.699999999999996
2,42,1,0.09698133947653828,44.66666666666668
2,43,1,0.11722080883313986,55.766666666666666
2,44,1,0.1056468754115603,45.416666666666664
2,45,0,0.09574645743719402,44.29999999999999
2,46,0,0.09857072265246974,42.03333333333333
2,47,1,0.10460852645149317,49.38333333333333
2,48,0,0.10812634877000823,47.99999999999999
2,49,0,0.10729378119785052,47.99999999999999
2,50,1,0.10636502695766399,50.58333333333333
2,51,1,0.10154644606263033,43.61666666666667
2,52,1,0.10962159583689675,47.13333333333333
2,53,1,0.10545737426299306,49.64999999999999
2,54,0,0.09304149126300547,44.233333333333334
2,55,1,0.09925041255731858,41.93333333333332
2,56,1,0.11566950635050985,50.833333333333336
2,57,1,0.09912434207866294,43.86666666666666
2,58,1,0.12752141209101314,54.4
2,59,3,0.11342747019529457,48.283333333333324
2,60,0,0.102989885853305,44.16666666666668
2,61,0,0.09979720011356649,42.15
2,62,0,0.10023742015080754,45.91666666666667
2,63,1,0.09475622953784463,41.11666666666666
2,64,1,0.10401640086927408,47.849999999999994
2,65,0,0.09563047589867099,41.699999999999996
2,66,0,0.100787420948143,40.76666666666667
2,67,1,0.09824187814020079,46.13333333333333
2,68,0,0.10322529882772313,48.76666666666667
2,69,1,0.11049226742352483,48.38333333333334
2,70,1,0.10511814980934742,45.48333333333334
2,71,0,0.10488010459060312,45.68333333333332
2,72,0,0.10933367123064633,50.78333333333334
2,73,1,0.10878023120522691,45.833333333333336
2,74,1,0.10875861622025115,51.45000000000001
2,75,1,0.1100901412044569,49.23333333333333
2,76,1,0.11228823567881736,45.6
2,77,1,0.11353958532707047,52.666666666666664
2,78,0,0.09333007699567047,45.56666666666667
2,79,1,0.1211861199795762,56.199999999999996
2,80,2,0.09813394976864485,40.35
2,81,1,0.11466091216476637,51.06666666666667
2,82,1,0.11160917899158507,45.99999999999999
2,83,1,0.10929673811953358,45.85
2,84,1,0.1018400922455267,47.71666666666667
2,85,0,0.11235485280118906,49.75
2,86,0,0.10416234764770178,41.65
2,87,1,0.10913940213148869,46.18333333333334
2,88,0,0.09459998494885596,41.18333333333333
2,89,0,0.10165143836111241,43.099999999999994
2,90,0,0.1002427836240302,42.616666666666674
2,91,0,0.09099254045572239,40.75
2,92,0,0.09393455987160274,43.81666666666666
2,93,1,0.10196688755084926,47.21666666666666
2,94,1,0.094895231075153,42.28333333333334
2,95,1,0.10605426035039753,46.33333333333333
2,96,1,0.10869486929647428,43.76666666666666
2,97,1,0.10957732745603965,51.43333333333334
2,98,0,0.1045250064398896,47.75
2,99,1,0.10302022982647319,47.54999999999999
2,1,0,0.10900538668392859,47.79999999999999
2,2,0,0.11823848487442216,51.916666666666664
2,3,1,0.09996067316767278,46.13333333333333
2,4,2,0.10836214470796499,48.41666666666667
2,5,0,0.09449542369124277,39.900000000000006
2,6,0,0.10012542899500483,46.96666666666666
2,7,0,0.09264343697437577,43.88333333333333
2,8,0,0.10608521552712365,48.016666666666666
2,9,1,0.10400254925313486,47.483333333333334
2,10,2,0.11555088022222668,46.75
2,11,1,0.10603012140944786,40.883333333333326
2,12,0,0.11653029701556035,52.099999999999994
2,13,1,0.1100186292647121,44.43333333333334
2,14,0,0.09481674682404054,42.199999999999996
2,15,0,0.09481619375893517,41.13333333333333
2,16,0,0.09835406755056234,41.96666666666667
2,17,1,0.11024579968562384,50.050000000000004
2,18,1,0.15455235352273605,58.9
2,19,1,0.10568540741446744,46.11666666666667
2,20,1,0.1063185616705223,48.23333333333335
2,21,1,0.10393521385625568,41.516666666666666
2,22,1,0.10200702189815092,48.8
2,23,0,0.09316174153158216,42.58333333333334
2,24,0,0.0923508620141527,43.51666666666667
2,25,2,0.12012223688921975,48.949999999999996
2,26,3,0.19370826133038963,59.51666666666667
2,27,0,0.1016561382467334,49.11666666666667
2,28,1,0.1114905763326367,52.033333333333346
2,29,1,0.1045584740458125,47.43333333333334
2,30,1,0.09775265024238744,40.96666666666666
2,31,0,0.10387013341402773,46.28333333333334
2,32,1,0.10730379017784966,44.78333333333334
2,33,0,0.09627917472597103,45.766666666666666
2,34,0,0.12029906509758045,55.33333333333333
2,35,1,0.10958828535671498,44.06666666666667
2,36,0,0.10306612804713569,40.7
2,37,2,0.11138735906450462,46.98333333333335
2,38,0,0.10515043935109376,46.83333333333334
2,39,0,0.09751095430772518,42.38333333333333
2,40,1,0.11425960651691025,43.466666666666654
2,41,1,0.0946070644177168,40.699999999999996
